@relation 272644L1_2-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute płeć {kobieta,mężczyzna}
@attribute 'rodzaj źródła dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres dochód (months)' numeric
@attribute 'okres będzie dochód (months)' numeric
@attribute 'opóźnienie spłaty (dni)' numeric

@data
496.83,31,kobieta,11,1600,4,14,48,48
200,69,kobieta,16,959.6,4,115,48,0
400,61,kobieta,13,1170,3,78,48,0
200,56,kobieta,11,1172.2,4,37,48,2
321.21,65,kobieta,16,892,3,201,48,0
250,54,kobieta,17,864.6,0,2,5,2
300,62,kobieta,13,1130,4,103,48,3
200,46,kobieta,12,990.34,3,56,16,3
286.94,52,kobieta,12,1050,3,34,2,2
300,61,kobieta,13,997,4,79,48,0
200,66,kobieta,13,1428.55,4,137,48,4
693.7,38,kobieta,11,1900,0,208,48,0
300,77,kobieta,13,1300,1,193,48,0
200,72,kobieta,13,730,3,561,48,3
600,65,mężczyzna,13,1217,1,51,48,0
426.61,49,kobieta,11,2470,5,354,48,2
200,52,kobieta,99,598,1,3,3,3
300,54,mężczyzna,11,1700,4,39,48,4
400,58,kobieta,16,1589,0,27,48,3
500,57,kobieta,13,1530,0,25,48,0
400,53,mężczyzna,11,4000,5,10,48,3
200,20,mężczyzna,17,985,5,13,4,4
500,70,kobieta,13,729.03,5,257,48,0
300,57,kobieta,13,611,3,139,48,1
300,60,mężczyzna,11,3000,5,212,48,3
600,32,kobieta,11,1290,4,19,48,0
297.69,63,kobieta,13,1014,0,183,48,9
600,47,kobieta,12,830.46,3,45,26,4
300,64,kobieta,16,1132,1,97,48,0
200,75,kobieta,13,616,4,246,48,0
300,21,mężczyzna,12,952.89,0,23,3,0
300,49,mężczyzna,13,3900,5,30,48,0
300,65,kobieta,13,1350,3,111,48,0
200,31,mężczyzna,98,2000,0,14,48,0
500,60,kobieta,13,936,2,31,48,0
388.45,43,mężczyzna,98,3178,0,201,48,11
371.01,44,mężczyzna,12,1952.35,4,4,7,0
300,57,kobieta,11,1680,4,385,48,2
600,49,kobieta,11,2800,4,319,48,0
783.61,63,kobieta,13,860,1,80,48,9
800,60,mężczyzna,11,1000,4,63,48,0
400,56,mężczyzna,11,1842.86,3,8,48,1
300,65,kobieta,13,1210,0,138,48,2
500,63,kobieta,13,2051,1,138,48,0
200,24,mężczyzna,12,1000,5,12,13,1
200,74,kobieta,13,1026,5,247,48,1
250,51,kobieta,11,1700,4,306,48,5
600,41,kobieta,98,5000,0,84,48,1
200,55,kobieta,11,1077,1,183,48,0
300,45,mężczyzna,12,1375.47,2,7,1,0
600,55,mężczyzna,16,588,1,422,48,8
200,52,kobieta,16,685,0,41,48,0
300,58,kobieta,13,1240,1,70,48,0
400,61,kobieta,13,1090.14,4,75,48,0
300,48,kobieta,11,1077.49,4,372,48,9
200,57,mężczyzna,13,12220,3,71,48,3
200,68,kobieta,13,1134.96,1,161,48,1
300,42,kobieta,11,1286.16,1,117,48,0
200,63,kobieta,16,1389,4,91,48,0
800,57,mężczyzna,12,2500,3,5,5,0
378.91,70,kobieta,13,1291.18,5,79,48,0
200,25,kobieta,17,1200,5,165,15,5
400,54,kobieta,12,1700,5,55,0,0
200,53,kobieta,11,1700,5,205,48,2
400,30,mężczyzna,11,2700,0,64,48,5
500,72,mężczyzna,13,1700,4,14,48,0
600,47,kobieta,11,1700,4,89,48,6
300,71,mężczyzna,13,1295.37,0,307,48,0
300,49,mężczyzna,11,1400,0,14,48,9
300,53,mężczyzna,11,1300,0,452,48,0
200,30,kobieta,11,1373.34,2,58,48,270
200,57,kobieta,16,703,4,26,48,0
200,66,kobieta,13,910,5,70,48,0
200,26,kobieta,12,1100,1,15,2,4
700,37,mężczyzna,12,3000,0,8,2,20
200,53,mężczyzna,11,2094.17,1,241,48,0
300,35,kobieta,11,2899.34,1,121,48,0
200,71,kobieta,13,722.05,4,197,48,0
515.96,58,kobieta,13,1801.41,0,38,48,6
400,72,mężczyzna,13,1870,0,85,48,0
500,58,mężczyzna,16,1770,5,89,48,0
200,41,kobieta,11,1037.34,0,62,48,5283
397.31,60,kobieta,13,1149.06,0,161,48,263
400,66,kobieta,13,850,4,67,48,3
200,29,mężczyzna,99,1393.85,3,5,0,4
300,21,mężczyzna,12,1500,0,6,2,0
200,66,kobieta,13,1216,5,141,48,75
300,48,kobieta,98,1357,0,1,48,0
300,50,mężczyzna,12,1000,2,43,19,0
300,78,kobieta,13,1239.98,2,255,48,0
345.97,54,kobieta,11,1721.7,5,120,48,0
