@relation '272644L1_2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F3-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsp?acona_sp?acona_cz:dobry,windykacja_windykacja_sp_odmowa:z?y-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsp?acona_sp?acona_cz:dobry,odmowa_windykacja_windykacja_sp:z?y-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_splacona_cz:dobry,odmowa_windykacja_windykacja_sp:z?y-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Remove-R1,4-weka.filters.unsupervised.attribute.Reorder-R1,2,6,5,4,3,last'

@attribute wiek {'\'(-inf-30.6]\'','\'(30.6-43.2]\'','\'(43.2-55.8]\'','\'(55.8-68.4]\'','\'(68.4-inf)\''}
@attribute płeć {kobieta,mężczyzna}
@attribute 'okres będzie dochód (months)' {'\'(-inf-46.5]\'','\'(46.5-inf)\''}
@attribute 'okres dochód (months)' {'\'(-inf-11.5]\'','\'(11.5-inf)\''}
@attribute 'ktore rolowanie' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'miesieczny dochod netto' {'\'(-inf-554.945]\'','\'(554.945-inf)\''}
@attribute '﻿status pozyczki' {dobry,z?y}

@data
'\'(30.6-43.2]\'',kobieta,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
'\'(68.4-inf)\'',kobieta,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
'\'(43.2-55.8]\'',mężczyzna,'\'(46.5-inf)\'','\'(-inf-11.5]\'','\'(-inf-0.5]\'','\'(554.945-inf)\'',z?y
'\'(55.8-68.4]\'',kobieta,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
'\'(55.8-68.4]\'',kobieta,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
'\'(55.8-68.4]\'',kobieta,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
'\'(68.4-inf)\'',kobieta,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
'\'(43.2-55.8]\'',kobieta,'\'(-inf-46.5]\'','\'(-inf-11.5]\'','\'(-inf-0.5]\'','\'(554.945-inf)\'',dobry
'\'(55.8-68.4]\'',kobieta,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
'\'(43.2-55.8]\'',kobieta,'\'(-inf-46.5]\'','\'(11.5-inf)\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
'\'(30.6-43.2]\'',mężczyzna,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(0.5-inf)\'','\'(554.945-inf)\'',z?y
'\'(43.2-55.8]\'',kobieta,'\'(-inf-46.5]\'','\'(11.5-inf)\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
'\'(55.8-68.4]\'',kobieta,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
'\'(55.8-68.4]\'',kobieta,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
'\'(30.6-43.2]\'',kobieta,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(-inf-0.5]\'','\'(554.945-inf)\'',dobry
'\'(68.4-inf)\'',kobieta,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
'\'(68.4-inf)\'',kobieta,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
'\'(55.8-68.4]\'',mężczyzna,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
'\'(43.2-55.8]\'',kobieta,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
'\'(43.2-55.8]\'',kobieta,'\'(-inf-46.5]\'','\'(-inf-11.5]\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
'\'(43.2-55.8]\'',mężczyzna,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
'\'(55.8-68.4]\'',kobieta,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(-inf-0.5]\'','\'(554.945-inf)\'',dobry
'\'(55.8-68.4]\'',kobieta,'\'(46.5-inf)\'','\'(11.5-inf)\'','\'(-inf-0.5]\'','\'(554.945-inf)\'',dobry
'\'(43.2-55.8]\'',mężczyzna,'\'(46.5-inf)\'','\'(-inf-11.5]\'','\'(0.5-inf)\'','\'(554.945-inf)\'',dobry
