@relation '272644L1_2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F3-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsp?acona_sp?acona_cz:dobry,windykacja_windykacja_sp_odmowa:z?y-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsp?acona_sp?acona_cz:dobry,odmowa_windykacja_windykacja_sp:z?y-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_splacona_cz:dobry,odmowa_windykacja_windykacja_sp:z?y-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6'

@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.6]\'','\'(30.6-43.2]\'','\'(43.2-55.8]\'','\'(55.8-68.4]\'','\'(68.4-inf)\''}
@attribute płeć {kobieta,mężczyzna}
@attribute 'rodzaj źródła dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres dochód (months)' numeric
@attribute 'okres będzie dochód (months)' numeric
@attribute '﻿status pozyczki' {dobry,z?y}

@data
496.83,'\'(30.6-43.2]\'',kobieta,11,1600,4,14,48,dobry
200,'\'(68.4-inf)\'',kobieta,16,959.6,4,115,48,dobry
500,'\'(43.2-55.8]\'',mężczyzna,11,1031,0,3,48,z?y
400,'\'(55.8-68.4]\'',kobieta,13,1170,3,78,48,dobry
200,'\'(55.8-68.4]\'',kobieta,11,1172.2,4,37,48,dobry
321.21,'\'(55.8-68.4]\'',kobieta,16,892,3,201,48,dobry
1070,'\'(68.4-inf)\'',kobieta,13,2421.55,1,245,48,dobry
250,'\'(43.2-55.8]\'',kobieta,17,864.6,0,2,5,dobry
300,'\'(55.8-68.4]\'',kobieta,13,1130,4,103,48,dobry
200,'\'(43.2-55.8]\'',kobieta,12,990.34,3,56,16,dobry
1075.62,'\'(30.6-43.2]\'',mężczyzna,11,2875.71,4,278,48,z?y
286.94,'\'(43.2-55.8]\'',kobieta,12,1050,3,34,2,dobry
300,'\'(55.8-68.4]\'',kobieta,13,997,4,79,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,1428.55,4,137,48,dobry
693.7,'\'(30.6-43.2]\'',kobieta,11,1900,0,208,48,dobry
300,'\'(68.4-inf)\'',kobieta,13,1300,1,193,48,dobry
200,'\'(68.4-inf)\'',kobieta,13,730,3,561,48,dobry
600,'\'(55.8-68.4]\'',mężczyzna,13,1217,1,51,48,dobry
426.61,'\'(43.2-55.8]\'',kobieta,11,2470,5,354,48,dobry
200,'\'(43.2-55.8]\'',kobieta,99,598,1,3,3,dobry
300,'\'(43.2-55.8]\'',mężczyzna,11,1700,4,39,48,dobry
